Machine_ID,Operation_Mode,Fault_Type,Temperature_C,Vibration_mm_s,Pressure_bar,Humidity_%,Energy_Consumption_kWh,Machine_Speed_RPM,Downtime_Minutes,Throughput_units_hr,Product_Quality_Score,Reject_Rate_%,Target_Class
MCH_41,Active,Power_Failure,58.65743858343696,2.287011966220445,5.506945421420152,60.40362888980228,65.1577292720979,1235.6839649227668,63,13.318933315532162,0.6801883183872943,31.981168161270567,Critical_Failure
MCH_8,Active,None,78.51072052303158,2.0199996439507846,4.729427795036321,44.99304858576278,46.23434047871335,1342.6465092268304,61,16.33175613741196,0.7235571606337796,27.64428393662204,High_Downtime
MCH_2,Active,None,65.4674073056978,2.0998303307388797,3.9339070648354673,28.252579649263975,55.63547027518508,1189.9111524629309,52,13.235426903643223,0.7298899895341256,27.011001046587435,Quality_Degraded
MCH_48,Active,None,83.36927785255966,2.8539585719471146,6.938935644642929,66.65974558680821,44.202905741531666,994.4304153262211,49,6.664718718142835,0.6040478599561077,39.595214004389234,Quality_Degraded
MCH_18,Active,Overheat,105.33975649862928,3.0742757518540857,5.440502147659249,71.09371175115584,63.22641558422916,1359.5231011641158,79,12.421498831931217,0.4897278837829926,51.027211621700744,Critical_Failure
MCH_16,Active,None,68.38675565292853,2.414734670133774,5.294515818793896,55.351712384334235,35.70458316175247,1033.245289096365,44,9.127339303035177,0.7037788621956613,29.622113780433867,Quality_Degraded
MCH_15,Fault,Sensor_Error,63.8769359963285,2.550508659956781,6.334099474745546,63.56351733429729,63.96920178674298,1327.491938463399,40,13.934182423143769,0.6694467047905003,33.055329520949975,Quality_Degraded
MCH_9,Maintenance,None,64.51827126018048,1.1932983351836284,5.076813397442365,43.54091260991332,68.18258513199689,1831.72388159007,43,28.53087723363039,0.8348772848186865,16.51227151813135,Optimal_Operation
MCH_48,Maintenance,Overheat,59.546041481814214,1.931776629474633,6.270259887131367,53.063859878474815,61.933931958439125,1387.460886311517,8,17.499455051401775,0.726370970390301,27.362902960969905,Critical_Failure
MCH_7,Idle,Sensor_Error,90.77572386976807,0.7573546781549727,4.891113079320571,69.78817978367597,89.50292330918185,1041.2181889161973,3,15.901821085856426,0.8260145431423309,17.39854568576691,Optimal_Operation
MCH_44,Active,None,89.73472853689819,1.5335568035537173,4.310657036817494,71.48488261712865,42.47364434623195,1575.5069160336818,5,22.511353077306616,0.7370342694259612,26.296573057403883,Quality_Degraded
MCH_48,Active,None,85.89823983518433,2.866377160999732,4.969338319479302,41.2172510502637,45.085622250829964,1098.440681013085,61,8.506140101693523,0.5924417813392948,40.75582186607052,High_Downtime
MCH_58,Active,None,87.28480344167467,1.7372425962569418,2.279306347680183,36.105390523536514,55.182769158331496,1280.0499192156308,78,16.324664509801885,0.7223916746824683,27.760832531753167,High_Downtime
MCH_35,Active,None,62.372672769340575,0.117560297281462,6.590114583843026,28.244612355449078,37.30974475316441,1112.128720926978,38,19.75028100954648,0.9553834554035868,4.461654459641318,Optimal_Operation
MCH_6,Active,None,72.72276251929232,4.216917901236758,4.988402938740766,32.24474360456115,54.523210135004184,1518.9373374653253,31,10.749370894422519,0.48307880177441986,51.69211982255801,Quality_Degraded
